ANT1,5.21,-15.81,180.00,2450AT18B100E,2450AT18B100E_ANTC3216X140N
C1,9.78,4.61,90.00,12pF,GRM011R60J152KE01L_2_CAPC0201X13N
C10,2.90,6.41,270.00,N.C.,GRM011R60J152KE01L_2_CAPC0201X13N
C11,8.99,2.53,180.00,100pF,GRM011R60J152KE01L_2_CAPC0201X13N
C12,6.30,4.61,270.00,100nF,GRM011R60J152KE01L_2_CAPC0201X13N
C13,5.14,4.66,270.00,N.C.,GRM011R60J152KE01L_2_CAPC0201X13N
C14,5.93,-5.94,270.00,4.7uF,PERFECT_0402_0402
C15,4.07,4.76,270.00,1.0uF,PERFECT_0402_0402
C16,2.88,4.74,90.00,47nF,GRM011R60J152KE01L_2_CAPC0201X13N
C17,-2.62,2.20,0.00,12pF,GRM011R60J152KE01L_2_CAPC0201X13N
C18,-2.89,-3.71,90.00,12pF,GRM011R60J152KE01L_2_CAPC0201X13N
C19,19.96,13.96,90.00,100nF,GRM011R60J152KE01L_2_CAPC0201X13N
C1_EP-DR,-16.01,-9.46,270.00,10uF,PERFECT_0402_0402
C2,8.58,4.79,90.00,12pF,GRM011R60J152KE01L_2_CAPC0201X13N
C2-EP-DR,-15.61,-12.75,180.00,4.7uF/25V,PERFECT_0402_0402
C20,1.62,-5.90,270.00,4.7uF,PERFECT_0402_0402
C21,-0.23,-5.78,270.00,4.7uF,PERFECT_0402_0402
C22,6.56,-9.51,180.00,1pF,GRM011R60J152KE01L_2_CAPC0201X13N
C23,6.01,14.65,90.00,0.1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C24,12.98,12.72,180.00,10uF,PERFECT_0402_0402
C25,6.03,16.33,90.00,22uF,PERFECT_0402_0402
C27,-13.18,16.30,90.00,0.1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C29,14.06,-16.42,270.00,1uF,PERFECT_0402_0402
C3,8.81,1.31,180.00,1pF,GRM011R60J152KE01L_2_CAPC0201X13N
C30,-14.03,-16.42,270.00,1uF,PERFECT_0402_0402
C31,-3.03,-16.42,270.00,1uF,PERFECT_0402_0402
C32,16.24,-9.67,180.00,1uF,PERFECT_0402_0402
C33,11.93,16.55,0.00,22uF,PERFECT_0402_0402
